-E		957.08	958.36	1.28	2
-E		958.36	959.12	0.76	1
-E		959.12	960.16	1.04	2
-E		960.16	963.361	3.201	1
-E		963.361	964.361	1.0	2
-E		964.361	965.041	0.68	1
-E		965.041	965.721	0.68	2
-E		965.721	978.275	12.554	1
-E		978.275	980.235	1.96	2
-E		980.235	980.875	0.64	1
-E		980.875	982.115	1.24	2
-E		982.115	1012.355	30.24	1
-E		1012.355	1087.588	75.233	0
-E		1087.588	1089.121	1.533	1
-E		1089.121	1090.001	0.88	0
-E		1090.001	1090.881	0.88	1
-E		1090.881	1091.601	0.72	0
-E		1091.601	1093.281	1.68	1
-E		1093.281	1094.441	1.16	0
-E		1094.441	1095.921	1.48	1
-E		1095.921	1098.161	2.24	0
-E		1098.161	1099.521	1.36	1
-E		1099.521	1100.761	1.24	0
-E		1100.761	1101.921	1.16	1
-E		1101.921	1102.521	0.6	0
-E		1102.521	1105.161	2.64	1
-E		1105.161	1122.801	17.64	0
-E		1122.801	1124.521	1.72	1
-E		1124.521	1125.801	1.28	0
-E		1125.801	1127.281	1.48	1
-E		1127.281	1128.121	0.84	0
-E		1128.121	1129.081	0.96	1
-E		1129.081	1129.841	0.76	0
-E		1129.841	1130.321	0.48	1
-E		1130.321	1131.401	1.08	0
-E		1131.401	1132.001	0.6	1
-E		1132.001	1197.04	65.039	0
+E		0.0	704.801	704.801	0
+E		704.801	749.043	44.242	1
+E		749.043	791.401	42.358	2
+E		791.401	819.961	28.56	3
+E		819.961	859.007	39.046	4
+E		859.007	917.721	58.714	5 
+E		917.721	919.001	1.28	6
+E		919.001	984.641	65.64	5
+E		984.641	991.681	7.04	6
+E		991.681	1020.041	28.36	5
+E		1020.041	1056.041	36.0	6
+E		1056.041	1069.161	13.12	7
+E		1069.161	1132.641	63.48	9
+E		1132.641	1197.04	64.399	10
